,red_card_continent,age,nation,league,team,goals_selection,selections_nation,position,price,goal_champ,assist_champ,own_goal_champ,yellow_card_champ,second_yellow_card_champ,red_card_champ,goal_cup,assist_cup,own_goal_cup,yellow_card_cup,second_yellow_card_cup,red_card_cup,goal_continent,assist_continent,own_goal_continent,yellow_card_continent,second_yellow_card_continent
6305,0.0,35,SouthAfrica,ABSAPremiership,OrlandoPirates,0,8,Goalkeeper,125000.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9921,0.0,18,Uzbekistan,Superliga,NasafQarshi,0,0,CentralMidfield,100000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2674,1.0,31,Brazil,PremierLiga,ShakhtarD.,1,8,LeftWinger,13000000.0,53.0,73.0,0.0,41.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,16.0,21.0,0.0,11.0,0.0
3068,0.0,22,DRCongo,JupilerProLeague,StandardLiège,1,19,DefensiveMidfield,1000000.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8164,0.0,32,Argentina,LigaMXClausura,Morelia,0,0,LeftWinger,600000.0,29.0,25.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10975,0.0,24,Indonesia,Liga1,PersijaJakarta,0,0,CentralMidfield,100000.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3679,0.0,19,Russia,PremierLiga,Rostov,0,0,CentralMidfield,300000.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12416,0.0,26,SaudiArabia,ProfessionalLeague,Shabab,0,0,Midfielder,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10708,0.0,31,Fiji,PremierLeague,NadiFA,0,2,Goalkeeper,75000.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8702,0.0,25,Japan,MLS,TorontoFC,0,0,RightWinger,350000.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2119,0.0,23,Romania,Liga1,DinamoBukarest,0,0,CentralMidfield,50000.0,4.0,2.0,0.0,12.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12429,0.0,29,SaudiArabia,ProfessionalLeague,Al0Wahda,0,16,DefensiveMidfield,650000.0,2.0,9.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0
7202,0.0,26,Mexico,AscensoMXClausura,PotrosUAEM,0,0,CentralMidfield,200000.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,0.0,23,Austria,Bundesliga,TSGHoffenheim,1,13,CentralMidfield,20000000.0,69.0,42.0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
4185,0.0,36,Netherlands,Eredivisie,NACBreda,0,0,Goalkeeper,200000.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
5134,0.0,29,SouthAfrica,ABSAPremiership,Sundowns,0,1,LeftWinger,400000.0,20.0,34.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1214,0.0,21,Bulgaria,ParvaLiga,Vitosha,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3388,0.0,27,Greece,SuperLeague,PASGiannina,0,0,AttackingMidfield,400000.0,9.0,5.0,0.0,10.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8987,0.0,25,Peru,PrimeraDivisión,Gimnasia,0,5,LeftWinger,500000.0,14.0,14.0,1.0,46.0,1.0,2.0,1.0,3.0,0.0,9.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0
3176,0.0,28,Belgium,JupilerProLeague,KAAGent,0,0,Goalkeeper,500000.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0
7564,0.0,26,Poland,USLC,RealMonarchs,0,0,DefensiveMidfield,125000.0,6.0,2.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9470,0.0,25,Brazil,SérieA,Cruzeiro,0,0,CentralMidfield,1000000.0,5.0,3.0,0.0,26.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739,0.0,24,France,Bundesliga,BayernMunich,0,15,CentralMidfield,45000000.0,30.0,19.0,0.0,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,6.0,0.0
10109,0.0,34,Japan,J2League,EhimeFC,0,0,RightMidfield,100000.0,11.0,13.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8869,0.0,25,Argentina,MLS,AtlantaUnited,1,2,LeftWinger,20000000.0,26.0,16.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,3.0,0.0
2846,0.0,21,Zambia,Bundesliga,RBSalzburg,1,9,CentralMidfield,2500000.0,9.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,0.0,29,Switzerland,SuperLeague,FCLuzern,1,5,LeftMidfield,1250000.0,119.0,34.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,0.0,28,Bulgaria,ParvaLiga,FKVereya,0,0,DefensiveMidfield,50000.0,3.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2733,0.0,27,Scotland,Premiership,Rangers,0,0,DefensiveMidfield,750000.0,21.0,19.0,0.0,27.0,1.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12515,0.0,28,SaudiArabia,ProfessionalLeague,Al0Nassr,0,20,CentralMidfield,750000.0,5.0,6.0,1.0,25.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
2393,0.0,21,Ukraine,PremierLiga,ArsenalKyiv,2,16,CentralMidfield,400000.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3766,0.0,24,Brazil,PremierLiga,ZenitS0Pb,0,14,DefensiveMidfield,4000000.0,13.0,4.0,0.0,23.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5293,0.0,26,Tunisia,LigueIPro,ESSahel,0,0,DefensiveMidfield,550000.0,11.0,2.0,0.0,29.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0
2356,0.0,26,Switzerland,SuperLeague,NEXamax,1,5,CentralMidfield,750000.0,38.0,19.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6621,0.0,34,Tunisia,LigueIPro,ClubAfricain,3,37,CentralMidfield,225000.0,42.0,42.0,0.0,54.0,3.0,2.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1064,10.0,35,Switzerland,Ligue1,Monaco,0,61,Goalkeeper,1000000.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,57.0
9998,0.0,29,Japan,J2League,KagoshimaUtd.,0,0,RightMidfield,200000.0,11.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1679,0.0,27,Poland,Ekstraklasa,LechiaGdansk,0,1,LeftWinger,200000.0,30.0,24.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7774,0.0,23,Uruguay,PrimeraDivisión,PlazaColonia,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3961,0.0,27,Brazil,LigaNOS,Feirense,0,0,Goalkeeper,300000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
11620,0.0,22,Qatar,StarsLeague,AlArabi,0,0,Defender,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4929,0.0,35,SouthAfrica,ABSAPremiership,FSStars,0,0,DefensiveMidfield,125000.0,14.0,9.0,0.0,77.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4744,0.0,30,Colombia,SerieA,Juventus,8,75,RightWinger,25000000.0,34.0,43.0,0.0,55.0,2.0,0.0,2.0,6.0,0.0,7.0,0.0,1.0,7.0,7.0,0.0,9.0,1.0
7409,0.0,22,UnitedStates,USLC,RGVFCToros,0,0,Midfielder,100000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10578,0.0,26,Fiji,PremierLeague,TavuaFC,0,0,Goalkeeper,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8912,0.0,32,Brazil,SérieA,CearáSC,0,0,DefensiveMidfield,900000.0,2.0,2.0,0.0,46.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,22,NorthernIreland,PremierLeague,Burnley,0,11,Goalkeeper,50000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5332,0.0,23,Tunisia,LigueIPro,CABizertin,0,0,RightWinger,400000.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9952,0.0,29,Uzbekistan,Superliga,AGMGOlmaliq,0,0,LeftMidfield,125000.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637,0.0,27,Poland,Ekstraklasa,Jagiellonia,0,1,DefensiveMidfield,1250000.0,23.0,12.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8245,0.0,28,Mexico,LigaMXClausura,Chivas,0,13,RightWinger,2000000.0,26.0,26.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0
7006,0.0,23,Venezuela,TorneoApertura,Mineros,0,0,CentralMidfield,175000.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8409,0.0,24,Colombia,LigaÁguilaI,JaguaresFC,0,0,CentralMidfield,550000.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6949,1.0,28,Venezuela,TorneoApertura,CaraboboFC,0,0,Goalkeeper,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
3949,0.0,27,Brazil,LigaNOS,Feirense,0,0,RightWinger,700000.0,9.0,8.0,0.0,30.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0.0,30,Israel,Ligatha'Al,H.BeerSheva,0,13,Goalkeeper,850000.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8772,0.0,24,Brazil,MLS,ColumbusCrew,0,0,RightWinger,200000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11841,2.0,30,"Korea,South",KLeague1,JeonbukMotors,0,0,Goalkeeper,550000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
1532,0.0,27,Poland,Ekstraklasa,ZaglebieLubin,1,4,AttackingMidfield,600000.0,46.0,59.0,0.0,25.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10148,0.0,29,Japan,J2League,FCRyukyu,0,0,RightWinger,250000.0,37.0,17.0,0.0,15.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6933,0.0,32,Venezuela,TorneoApertura,AraguaFC,0,0,AttackingMidfield,200000.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11859,0.0,30,"Korea,South",KLeague1,Ulsan,0,0,AttackingMidfield,200000.0,13.0,16.0,0.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
12189,0.0,20,China,SuperLeague,TJTianhai,0,0,Defender,50000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7123,0.0,25,Mexico,AscensoMXClausura,TampicoMadero,0,0,DefensiveMidfield,400000.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,0.0,25,Denmark,Superligaen,ACHorsens,0,0,LeftMidfield,500000.0,5.0,9.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,0.0,25,CostaRica,Liga1,FCPoliIasi,0,1,AttackingMidfield,700000.0,24.0,7.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1055,0.0,20,France,Ligue1,Monaco,0,0,CentralMidfield,100000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5674,0.0,24,Iran,AzadeganLeague,Malavan,0,0,CentralMidfield,125000.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
7599,0.0,26,NewZealand,USLC,PhoenixRising,0,3,DefensiveMidfield,275000.0,9.0,3.0,1.0,45.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2574,0.0,33,Ukraine,PremierLiga,Chornomorets,0,1,RightWinger,400000.0,49.0,37.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,25,Gabon,PremierLeague,Southampton,2,15,DefensiveMidfield,15000000.0,6.0,3.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8654,0.0,24,Slovakia,MLS,SaltLake,4,17,AttackingMidfield,2000000.0,35.0,31.0,0.0,12.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,30,France,FirstDivision,AlkiOroklini,0,0,AttackingMidfield,200000.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11139,0.0,24,NewZealand,NewZealandPremiership,CanterburyUtd,0,0,Midfielder,225000.0,3.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11478,0.0,29,Iran,PersianGulfProLeague,ZobAhan,0,0,RightWinger,600000.0,15.0,14.0,0.0,19.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
6993,0.0,24,Venezuela,TorneoApertura,Táchira,0,0,RightMidfield,275000.0,1.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4701,5.0,29,Albania,SerieA,Atalanta,0,50,Goalkeeper,5000000.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,15.0
5621,0.0,28,Iran,AzadeganLeague,ArvandKh,0,0,Goalkeeper,75000.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639,0.0,28,Poland,Ekstraklasa,Jagiellonia,0,0,Goalkeeper,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9703,0.0,23,Iran,AzadeganLeague,ShTabriz,0,0,Goalkeeper,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7308,0.0,27,Argentina,PrimeraBNacional,ClubAlmagrodeBuenosAires,0,0,LeftMidfield,75000.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7670,0.0,23,Brazil,SérieB,SportRecife,0,0,LeftWinger,800000.0,7.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11727,0.0,36,Thailand,ThaiLeague,SuphanburiFC,0,78,Goalkeeper,150000.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2663,0.0,22,Brazil,PremierLiga,ZoryaLugansk,0,0,CentralMidfield,700000.0,3.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12696,0.0,24,Japan,J1League,NagoyaGrampus,0,5,AttackingMidfield,1000000.0,26.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7968,0.0,31,Brazil,SérieB,CoritibaFC,0,6,AttackingMidfield,1000000.0,30.0,36.0,0.0,23.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,28,Macedonia,FirstDivision,AlkiOroklini,0,5,DefensiveMidfield,300000.0,11.0,10.0,0.0,48.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9516,0.0,18,Australia,A0League,WesternSydney,0,0,Forward,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2578,0.0,26,Ukraine,PremierLiga,Chornomorets,2,24,CentralMidfield,500000.0,3.0,3.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2768,0.0,30,Austria,Bundesliga,SturmGraz,1,23,LeftMidfield,650000.0,80.0,68.0,0.0,72.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0
10861,0.0,28,Indonesia,Liga1,PSTIRA,0,0,DefensiveMidfield,125000.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8568,0.0,28,Colombia,LigaÁguilaI,JuniorFC,0,0,LeftWinger,800000.0,9.0,9.0,0.0,38.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10866,0.0,33,Indonesia,Liga1,BorneoFC,0,0,LeftMidfield,75000.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8180,0.0,23,Mexico,LigaMXClausura,TiburonesRojos,0,0,AttackingMidfield,700000.0,11.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11564,0.0,35,Morocco,StarsLeague,AlKharitiyat,0,1,RightWinger,275000.0,37.0,28.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5029,0.0,24,SouthAfrica,ABSAPremiership,OrlandoPirates,0,8,DefensiveMidfield,500000.0,3.0,4.0,2.0,14.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12625,0.0,20,Japan,J1League,FCTokyo,0,1,Goalkeeper,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7465,0.0,31,Serbia,USLC,RoughnecksFC,0,0,AttackingMidfield,150000.0,1.0,5.0,0.0,40.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,0.0,27,France,Ligue1,Montpellier,0,9,Goalkeeper,600000.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0
206,0.0,39,Argentina,PremierLeague,CrystalPalace,0,1,Goalkeeper,250000.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
10775,0.0,20,Indonesia,Liga1,SemenPadang,0,0,LeftMidfield,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10977,0.0,29,Indonesia,Liga1,PersijaJakarta,0,0,DefensiveMidfield,50000.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349,29.0,30,Argentina,LigaMXClausura,América,0,4,Goalkeeper,3500000.0,0.0,0.0,0.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,105.0
9123,1.0,32,Argentina,PrimeraDivisión,Aldosivi,0,0,Goalkeeper,250000.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0
2224,1.0,19,Romania,Liga1,FCSB,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0
12425,0.0,32,SaudiArabia,ProfessionalLeague,Faisaly,0,0,Goalkeeper,575000.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2695,0.0,26,Brazil,PremierLiga,DynamoKyiv,0,0,CentralMidfield,5000000.0,1.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
1971,0.0,29,Romania,Liga1,D.Calarasi,0,0,DefensiveMidfield,250000.0,7.0,4.0,0.0,38.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227,0.0,28,Peru,LigaMXClausura,CDCruzAzul,2,77,CentralMidfield,1000000.0,11.0,40.0,0.0,50.0,4.0,3.0,6.0,7.0,1.0,9.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0
12164,0.0,20,China,SuperLeague,SHShenhua,2,2,RightWinger,500000.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,0.0,21,Uganda,1.HNL,HNKGorica,11,30,AttackingMidfield,600000.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11125,0.0,24,NewZealand,NewZealandPremiership,HamiltonW.,0,0,Goalkeeper,150000.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2556,0.0,25,Ukraine,PremierLiga,FKMariupol,0,2,LeftWinger,600000.0,16.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7478,0.0,24,France,USLC,Pittsburgh,0,0,CentralMidfield,250000.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12337,0.0,25,SaudiArabia,ProfessionalLeague,OhodAl0Medina,0,0,RightWinger,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10735,0.0,26,Brazil,I0League,GokulamFC,0,0,DefensiveMidfield,150000.0,2.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3823,0.0,27,Brazil,LigaNOS,Moreirense,0,0,AttackingMidfield,700000.0,1.0,4.0,0.0,21.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5945,0.0,23,Egypt,PremierLeague,PyramidsFC,0,0,CentralMidfield,250000.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11988,0.0,22,UnitedArabEmirates,UAEGulfLeague,EmiratesClub,0,0,Goalkeeper,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1497,0.0,21,Germany,Superligaen,AalborgBK,3,9,LeftWinger,700000.0,52.0,34.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2361,0.0,34,Switzerland,SuperLeague,NEXamax,0,0,Goalkeeper,200000.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
