ranking,club name ,country,point score,1 year change,previous point scored,symbol change
2755,Carrick Rangers,Northern Ireland,1137,12,1163,-
646,Cartaginés,Costa Rica,1402,19,1396,+
2487,CAS de Sévaré,Mali,1222,25,1222,-
305,Catania,Italy,1494,2,1494,-
1442,Cavaliers FC,Jamaica,1300,311,1274,+
2371,Cavaly,Haiti,1232,275,1250,-
1311,CD America de Quito,Ecuador,1313,9,1313,-
612,CD Antofagasta,Chile,1409,96,1430,-
2238,CD Audaz,El Salvador,1242,36,1242,-
1748,CD Chalatenango,El Salvador,1275,446,1247,+
1864,CD das Aves,Portugal,1266,13,1266,-
1734,CD EL Vencedor,El Salvador,1276,3,1276,-
1004,CD FAS,El Salvador,1345,57,1340,+
861,CD Jaguares,Colombia,1365,89,1351,+
2557,CD Junior Managua,Nicaragua,1215,13,1215,-
2621,CD Ocotal,Nicaragua,1203,83,1219,-
2440,CD Olmedo,Ecuador,1226,1167,1318,-
2585,CD Petapa,Guatemala,1209,17,1209,-
1807,CD Platense Municipal,El Salvador,1270,290,1250,+
966,CD Plaza Amador,Panama,1351,22,1352,-
2312,CD Real de Minas,Honduras,1236,50,1236,-
400,CD Santa Clara,Portugal,1460,14,1456,+
2563,CD Sonsonate,El Salvador,1214,31,1211,+
856,CD UT Cajamarca,Peru,1366,279,1416,-
741,CD Vida,Honduras,1385,434,1327,+
2037,Ceahlăul Piatra,Romania,1254,10,1254,-
98,Ceará SC,Brazil,1620,23,1595,+
2707,Cefn Druids AFC,Wales,1180,426,1242,-
1716,Čelik Nikšić,Montenegro,1278,0,1278,-
1984,Čelik Zenica,Bosnia and Herzegovina,1257,17,1257,-
62,Celta Vigo,Spain,1675,16,1641,+
51,Celtic,Scotland,1694,21,1651,+
1363,Central,Trinidad and Tobago,1307,4,1307,-
2408,Central Coast Mariners FC,Australia,1229,184,1212,+
975,Central Español,Uruguay,1350,3,1350,-
1983,Central Sport,Syria,1257,17,1257,-
1480,Centre Salif Kéita,Mali,1298,18,1298,-
2417,Centro Ítalo,Venezuela,1228,23,1228,-
1258,Ceramica Cleopatra,Egypt,1319,58,1324,-
736,Cercle Brugge,Belgium,1386,785,1296,+
412,Cerezo Osaka,Japan,1458,53,1473,-
1376,Cerrito,Uruguay,1305,253,1287,+
588,Cerro Largo,Uruguay,1415,38,1423,-
114,Cerro Porteño,Paraguay,1602,14,1588,+
1449,Cerro Porteño PF,Paraguay,1299,25,1299,-
894,Cesena,Italy,1359,3,1359,-
806,České Budějovice,Czech Republic,1373,277,1337,+
1077,CF Montreal,Canada,1338,221,1315,+
150,CF Pachuca,Mexico,1573,67,1534,+
2566,CF Ungheni,Moldova,1213,18,1213,-
92,CFR Cluj,Romania,1627,11,1612,+
1491,Chabab Atlas Khénifra,Morocco,1297,20,1297,-
1749,Chabab Rif Al Hoceima,Morocco,1274,3,1274,-
1067,Chacarita Juniors,Argentina,1339,5,1339,-
1906,Chainat FC,Thailand,1263,10,1263,-
2359,Chambishi FC,Zambia,1233,262,1250,-
813,Changchun Yatai,China PR,1372,353,1328,+
1075,Chapecoense AF,Brazil,1338,674,1459,-
1759,Chapungu United,Zimbabwe,1273,1,1273,-
1046,Charlotte FC,Uruguay,1341,91,1350,-
721,Chaves,Portugal,1389,18,1389,-
5,Chelsea FC,England,1939,4,1861,+
1767,Chengdu Blades,China PR,1272,1,1272,-
1933,Chennai City FC,India,1261,11,1261,-
1969,Chennaiyin FC,India,1259,15,1259,-
1553,Chepo FC,Panama,1291,27,1291,-
312,Cherno More Varna,Bulgaria,1490,104,1455,+
737,Chernomorets Burgas,Bulgaria,1386,14,1386,-
2314,Chiangmai FC,Thailand,1236,50,1236,-
719,Chiangrai United,Thailand,1390,51,1395,-
1330,Chicago Fire,United States,1310,61,1303,+
619,Chicken Inn FC,Zimbabwe,1408,40,1398,+
781,Chievo Verona,Italy,1377,16,1377,-
1638,Chikhura,Georgia,1285,12,1285,-
2638,Chinandega FC,Nicaragua,1200,3,1203,-
1707,Chippa United,South Africa,1279,133,1291,-
2392,Chirag Kerala,India,1230,30,1230,-
2438,Chiredzi FC,Zimbabwe,1226,23,1226,-
2609,Chivas USA,United States,1206,16,1206,-
864,Chonburi FC,Thailand,1365,64,1354,+
1528,Chongqing Liangjiang Athletic F.C.,China PR,1293,326,1324,-
1548,Chornomorets Odesa,Ukraine,1291,288,1318,-
978,Chorrillo,Panama,1350,0,1350,-
924,Churchill Brothers SC,India,1355,51,1361,-
2300,Cibalia,Croatia,1237,47,1237,-
2315,Cibao,Denmark,1236,50,1236,-
1530,Ciclon,Bolivia,1293,28,1293,-
461,Cienciano,Peru,1444,161,1405,+
461,Cienciano,Peru,1444,161,1405,+
1723,Clan Juvenil,Ecuador,1277,3,1277,-
539,Clermont Foot,France,1426,103,1450,-
956,Cliftonville,Northern Ireland,1352,294,1320,+
558,Club Africain,Tunisia,1421,9,1420,+
601,Club Atlético Bucaramanga,Colombia,1411,1,1410,+
1078,Club Atlético Grau,Peru,1338,50,1332,+
2420,Club Atletico Pantoja,Denmark,1228,24,1228,-
273,Club Atlético Platense,Argentina,1511,163,1450,+
800,Club Atletico Progreso,Uruguay,1374,104,1391,-
398,Club Atletico Torque,Uruguay,1461,214,1407,+
91,Club Brugge,Belgium,1628,32,1677,-
855,Club Deportivo Maldonado,Uruguay,1366,63,1355,+
2180,Club Olympique de Médenine,Tunisia,1245,44,1245,-
2306,Club Omnisports de Korhogo (CIV),Ivory Coast,1237,34,1238,-
1174,Club Petrolero,Bolivia,1328,2,1328,-
222,Club Puebla,Mexico,1535,84,1494,+
1163,Club River Plate,Paraguay,1328,139,1315,+
2368,Club Sando,Trinidad and Tobago,1232,34,1232,-
371,Club Sport Herediano,Costa Rica,1469,19,1463,+
641,Club Tijuana,Mexico,1404,21,1397,+
1359,CNI,Peru,1307,4,1307,-
2333,CO Bouafle,Ivory Coast,1235,44,1235,-
2276,Coatepeque,Guatemala,1240,39,1240,-
770,Coban Imperial,Guatemala,1379,103,1395,-
885,Cobreloa,Chile,1361,11,1361,-
543,Cobresal,Chile,1425,194,1383,+
2043,Cobresol,Peru,1254,9,1254,-
1706,CODM Meknès,Morocco,1279,1,1279,-
881,Coleraine,Northern Ireland,1362,46,1367,-
256,Colo Colo,Chile,1519,266,1429,+
1030,Colombe du Dja et Lobo,Cameroon,1343,62,1336,+
2415,Colón C-3,Panama,1229,23,1229,-
378,Colón Santa Fe,Argentina,1467,369,1382,+
654,Colorado Rapids,United States,1400,536,1325,+
652,Columbus Crew,United States,1400,92,1421,-
1493,Comerciantes Unidos,Peru,1297,20,1297,-
2237,Concordia Chiajna,Romania,1242,36,1242,-
332,Connah's Quay,Wales,1481,5,1487,-
749,Consadole Sapporo,Japan,1384,47,1371,+
914,Coquimbo Unido,Chile,1356,162,1381,-
874,Córdoba CF,Spain,1363,10,1363,-
89,Corinthians,Brazil,1630,74,1562,+
503,Coritiba,Brazil,1434,6,1434,-
716,Cork City,Ireland,1391,19,1391,-
2538,Corona Braşov,Romania,1217,19,1217,-
993,Cortuluá,Colombia,1347,193,1326,+
2073,Cosmos de Bafia,Cameroon,1252,1,1252,-
1724,Costuleni,Moldova,1277,3,1277,-
425,Coton Sport,Cameroon,1455,43,1465,-
185,CR Belouizdad,Algeria,1550,224,1456,+
857,Cracovia Kraków,Poland,1366,78,1374,-
2230,Cranborne Bullets FC,Zimbabwe,1242,134,1250,-
634,Criciúma,Brazil,1405,11,1405,-
2587,Croatia Sesvete,Croatia,1209,18,1209,-
583,Crotone,Italy,1416,70,1399,+
2026,Crown FC,Nigeria,1254,5,1254,-
1647,Crucero del Norte,Argentina,1285,6,1285,-
929,Crusaders,Northern Ireland,1354,22,1357,-
172,Cruz Azul,Mexico,1557,95,1644,-
301,Cruzeiro,Brazil,1495,1,1495,-
72,Crystal Palace,England,1662,86,1564,+
692,CS Alagoano AL,Brazil,1394,19,1394,-
536,CS Constantine,Algeria,1426,38,1417,+
783,CS Deportivo Pereira,Colombia,1376,242,1344,+
2152,CS Fola Esch,Luxembourg,1247,56,1250,-
2105,CS Hammam-Lif,Tunisia,1250,214,1263,-
2383,CS Makiso,Congo DR,1231,31,1231,-
564,CS Marítimo Madeira,Portugal,1421,82,1400,+
2465,CS Mioveni,Romania,1224,199,1197,+
523,CS Petrocub,Moldova,1430,166,1392,+
322,CS Sfaxien,Tunisia,1486,58,1512,-
279,CS Universitatea Craiova,Romania,1508,44,1526,-
1681,CS Uruguay,Costa Rica,1281,1,1281,-
366,CSD Comunicaciones,Guatemala,1470,51,1491,-
339,CSD Municipal,Guatemala,1478,36,1467,+
151,CSKA Moskva,Russia,1572,1,1568,+
2115,CSMS Iaşi,Romania,1249,56,1248,+
2169,CSyD Carchá,Guatemala,1246,45,1246,-
2294,CSyD Nueva Concepción,Guatemala,1238,856,1300,-
1278,Cúcuta Deportivo,Colombia,1317,0,1317,-
191,Cuiaba,Brazil,1547,244,1450,+
302,Čukarički,Serbia,1495,41,1480,+
923,Cumbayá FC,Ecuador,1355,33,1350,+
2161,Cunupia FC,Trinidad and Tobago,1247,40,1247,-
648,Curicó Unido,Chile,1402,298,1351,+
988,Cusco FC,Peru,1347,231,1379,-
1796,Dacia Buiucani,Moldova,1270,119,1261,+
155,Dacia Chisinau,Moldova,1567,1,1567,-
531,Daegu FC,South Korea,1427,16,1424,+
2439,Daejeon Citizen,South Korea,1226,44,1224,+
2758,Dainava Alytus,Lithuania,1128,2,1104,+
1783,Dalian Professional FC,China PR,1271,269,1297,-
1603,Dalian Shide,China PR,1287,19,1287,-
1797,Dalkurd FF,Sweden,1270,6,1270,-
834,Damac FC,Saudi Arabia,1368,439,1318,+
1277,Damash,Iran,1317,1,1317,-
1761,Dan Kassawa,Niger,1273,2,1273,-
765,Danubio,Uruguay,1381,88,1365,+
380,Darmstadt,Germany,1467,6,1467,-
2393,Dauphins Noirs,Congo DR,1230,82,1225,+
1162,DC United,United States,1328,159,1312,+
1066,De Graafschap,Netherlands,1339,5,1339,-
2483,Debo Club,Mali,1222,25,1222,-
871,Debrecen,Hungary,1363,15,1365,-
1828,Dečić,Montenegro,1268,372,1247,+
799,Defence Force FC,Trinidad and Tobago,1375,22,1375,-
46,Defensa y Justicia,Argentina,1701,14,1676,+
1230,Defensor La Bocana,Peru,1322,1,1322,-
776,Defensor Sporting,Uruguay,1378,57,1386,-
1349,Degerfors IF,Sweden,1308,130,1299,+
444,Delfin SC,Ecuador,1447,78,1471,-
1911,Delhi Dynamos FC,India,1262,11,1262,-
1395,Delta Force FC,Nigeria,1303,1,1303,-
2277,Deltras Sidoarjo,Indonesia,1240,40,1240,-
522,Dempo SC,India,1430,7,1430,-
1560,Denguélé Sport,Ivory Coast,1290,26,1290,-
2000,Denizlispor,Turkey,1256,267,1276,-
1010,Deportes Iquique,Chile,1345,6,1345,-
1102,Deportes La Serena,Chile,1335,236,1362,-
1559,Deportes Quindío,Colombia,1290,160,1278,+
829,Deportes Temuco,Chile,1369,13,1369,-
2414,Deportiva Carmelita,Costa Rica,1229,23,1229,-
1040,Deportiva San Carlos,Costa Rica,1342,25,1345,-
1766,Deportivo Achuapa,Guatemala,1273,18,1275,-
282,Deportivo Alaves,Spain,1507,93,1547,-
1531,Deportivo Anzoátegui,Venezuela,1293,29,1293,-
837,Deportivo Binacional,Peru,1368,186,1344,+
375,Deportivo Cali,Colombia,1467,54,1489,-
1119,Deportivo Capiatá,Paraguay,1333,0,1333,-
1265,Deportivo Carapeguá,Paraguay,1319,6,1319,-
1805,Deportivo Chiantla,Guatemala,1270,6,1270,-
796,Deportivo Cuenca,Ecuador,1375,83,1387,-
1446,Deportivo del Este,Panama,1300,162,1288,+
560,Deportivo Heredia,Guatemala,1421,1,1421,-
323,Deportivo La Coruña,Spain,1486,9,1486,-
878,Deportivo La Guaira FC,Venezuela,1362,236,1401,-
877,Deportivo Lara,Venezuela,1362,92,1373,-
2328,Deportivo Las Sabanas,Nicaragua,1235,44,1235,-
1613,Deportivo Llacuabamba,Peru,1287,17,1287,-
1221,Deportivo Los Caimanes,Peru,1323,7,1323,-
597,Deportivo Malacateco,Guatemala,1412,551,1330,+
1957,Deportivo Marquense,Guatemala,1260,17,1260,-
1940,Deportivo Mixco,Guatemala,1260,14,1260,-
836,Deportivo Municipal,Peru,1368,388,1323,+
963,Deportivo Pasto,Colombia,1351,507,1445,-
2424,Deportivo Petare,Venezuela,1228,26,1228,-
1048,Deportivo Quevedo,Ecuador,1341,9,1341,-
1303,Deportivo Quito,Ecuador,1314,11,1314,-
1276,Deportivo Sanarate,Guatemala,1318,89,1307,+
1494,Deportivo Santaní,Paraguay,1297,21,1297,-
468,Deportivo Saprissa,Costa Rica,1442,38,1452,-
468,Deportivo Saprissa,Costa Rica,1442,38,1452,-
2123,Deportivo Savio,Honduras,1249,41,1249,-
480,Deportivo Táchira,Venezuela,1439,140,1405,+
480,Deportivo Táchira,Venezuela,1439,140,1405,+
1308,Deportivo Walter Ferretti,Nicaragua,1313,16,1312,+
309,Deportivo Xerez,Spain,1491,8,1491,-
2164,Deportivo Zulia,Venezuela,1246,43,1246,-
489,Derry City,Ireland,1437,241,1384,+
489,Derry City,Ireland,1437,241,1384,+
1441,Desportivo Da Huíla,Angola,1300,6,1301,-
2565,Destroyers,Bolivia,1213,18,1213,-
2114,Diables Noirs,Congo,1250,42,1250,-
2193,Diaraf,Senegal,1244,44,1244,-
2547,Dibba Al-Fujairah Club,United Arab Emirates,1216,16,1216,-
833,Difaâ El Jadida,Morocco,1368,10,1368,-
2186,Differdange 03,Luxembourg,1245,44,1245,-
1071,Dijon,France,1339,220,1365,-
1108,Dila Gori,Georgia,1335,183,1315,+
2651,Dinamo Bender,Moldova,1197,12,1197,-
1669,Dinamo Bucureşti,Romania,1283,594,1339,-
247,Dinamo Minsk,Belarus,1524,49,1498,+
154,Dinamo Moskva,Russia,1567,106,1513,+
2626,Dinamo Samarkand,Uzbekistan,1203,8,1207,-
455,Dinamo Tbilisi,Georgia,1445,6,1447,-
455,Dinamo Tbilisi,Georgia,1445,6,1447,-
2045,Dinamo Vranje,Serbia,1253,10,1253,-
61,Dinamo Zagreb,Croatia,1678,9,1696,-
1631,Dinamo-Auto,Moldova,1286,130,1273,+
1467,Diósgyör,Hungary,1299,89,1305,-
934,Diriangén FC,Nicaragua,1354,370,1315,+
1732,Diyarbakirspor,Turkey,1276,4,1276,-
386,Djoliba AC,Mali,1463,2,1463,-
278,Djurgården,Sweden,1509,44,1526,-
2703,Dnepr Mogilev,Belarus,1181,7,1181,-
221,Dnipro Dnipropetrovsk,Ukraine,1536,9,1536,-
394,Dolphins FC,Nigeria,1462,262,1399,+
2471,Domant FC,Angola,1223,26,1223,-
472,Domžale,Slovenia,1441,112,1473,-
472,Domžale,Slovenia,1441,112,1473,-
1283,Don Bosco SC,Congo DR,1316,92,1305,+
2329,Dongo,Zimbabwe,1235,44,1235,-
1041,Dorados Sinaloa,Mexico,1342,5,1342,-
1741,Douanes Niamey,Niger,1275,3,1275,-
2458,Douglas Warriors,Zimbabwe,1224,24,1224,-
2042,Doxa Dramas,Greece,1254,10,1254,-
1252,Doxa Katokopia,Cyprus,1320,130,1304,+
1718,Dragon,Tahiti,1278,1,1278,-
2423,Dragón,El Salvador,1228,26,1228,-
1765,Dragon de Yaoundé,Cameroon,1273,175,1290,-
1623,Dragons,Congo DR,1286,15,1286,-
1781,Drava,Slovenia,1271,0,1271,-
1291,DRB Tadjenanet,Algeria,1316,3,1316,-
1685,Dreams FC,Ghana,1281,118,1270,+
1936,Drogheda United,Ireland,1261,510,1228,+
195,DSC Arminia Bielefeld,Germany,1546,71,1509,+
2185,DSK Shivajians,India,1245,43,1245,-
2650,Dubai Club,United Arab Emirates,1197,11,1197,-
1863,Dubnica,Slovakia,1266,13,1266,-
1486,Duguwolofila,Mali,1297,18,1297,-
1943,Dukla Banska Bystrica,Slovakia,1260,14,1260,-
1619,Dukla Praha,Czech Republic,1286,15,1286,-
408,Dunajska Streda,Slovakia,1459,59,1476,-
1879,Dunaújváros Pálhalma SE,Hungary,1265,13,1265,-
1819,Dunav Ruse,Bulgaria,1269,9,1269,-
1838,Dunbeholden FC,Jamaica,1268,236,1252,+
369,Dundalk FC,Ireland,1470,145,1531,-
2645,Dundee FC,Scotland,1198,5,1200,-
1104,Dundee United,Scotland,1335,119,1323,+
2268,Dunfermline Athletic,Scotland,1240,38,1240,-
2759,Dungannon Swifts,Northern Ireland,1119,1,1136,-
65,Dynamo Kyiv,Ukraine,1669,0,1667,+
280,Dynamos,Zimbabwe,1508,10,1506,+
2391,Džiugas Telšiai,Lithuania,1231,165,1245,-
1824,Eagles,Zimbabwe,1268,8,1268,-
548,East Bengal Club,India,1423,3,1423,-
2334,Eastern Sports Club,Hong Kong,1235,45,1235,-
918,Eastern Stars,Papua New Guinea,1356,4,1356,-
899,Eastern Suburbs,New Zealand,1359,6,1359,-
1433,Ebusua Dwarfs,Ghana,1301,18,1302,-
197,EC Juventude,Brazil,1544,239,1450,+
887,Eding Sport FC,Cameroon,1360,176,1340,+
2445,EFYM,Ivory Coast,1225,21,1225,-
2513,Eger,Hungary,1219,22,1219,-
1670,EGS Gafsa,Tunisia,1283,3,1283,-
261,Eibar,Spain,1517,67,1487,+
427,Eintracht Braunschweig,Germany,1454,3,1454,-
49,Eintracht Frankfurt,Germany,1697,25,1769,-
1533,Ekranas,Lithuania,1293,29,1293,-
1854,El Dakhleya,Egypt,1267,17,1267,-
2134,El Dorado,Denmark,1248,43,1248,-
1622,El Entag El Harby,Egypt,1286,8,1288,-
1021,El Geish,Egypt,1344,130,1329,+
1379,El Gounah,Egypt,1304,112,1318,-
535,El Jaish (Doha),Qatar,1427,5,1426,+
1242,El Kanemi Warriors,Nigeria,1321,2,1321,-
2023,El Mansura,Egypt,1254,5,1254,-
2053,El Minya,Egypt,1253,6,1253,-
1105,El Nacional,Ecuador,1335,1,1335,-
2222,El Nasr Tadeen,Egypt,1243,38,1243,-
2555,El Nsoor,Sudan,1215,21,1215,-
1964,El Raja,Egypt,1259,15,1259,-
972,El Tanque Sisley,Uruguay,1350,20,1350,-
163,El Zamalek,Egypt,1563,13,1569,-
1786,El-Sharkia Lel Dokhan (Eastern Company SC),Egypt,1271,347,1300,-
919,Elazığspor,Turkey,1356,4,1356,-
157,Elche,Spain,1566,74,1528,+
2184,Eleven Wise,Ghana,1245,43,1245,-
2054,Eleven Wonders FC,Ghana,1253,158,1246,+
360,Elfsborg,Sweden,1471,106,1442,+
1674,Elima,Congo DR,1282,2,1282,-
2358,Elmina Sharks,Ghana,1233,488,1265,-
164,Emelec,Ecuador,1563,19,1550,+
2711,Emirates Club,United Arab Emirates,1179,33,1193,-
254,Empoli FC,Italy,1520,7,1513,+
1573,Enosis Paralimni,Cyprus,1289,231,1310,-
715,ENPPI,Egypt,1391,32,1393,-
1755,Entente Sportive du Bafing,Ivory Coast,1274,577,1238,+
477,Enugu Rangers,Nigeria,1440,115,1413,+
477,Enugu Rangers,Nigeria,1440,115,1413,+
662,Envigado,Colombia,1398,235,1358,+
526,Enyimba,Nigeria,1429,105,1455,-
1725,EO Sidi Bouzid,Tunisia,1277,3,1277,-
2225,Erakor Golden Star,Vanuatu,1243,38,1243,-
1398,Ergotelis,Greece,1303,2,1303,-
1947,Ermis Aradippou,Cyprus,1260,44,1262,-
1038,Erzurum BB,Turkey,1342,9,1342,-
2467,ES Bingerville,Ivory Coast,1224,24,1224,-
415,ES Sétif,Algeria,1457,71,1479,-
1751,Esan United,Thailand,1274,3,1274,-
1818,Esbjerg fB,Denmark,1269,9,1269,-
1000,Eskişehirspor,Turkey,1346,4,1346,-
125,Esperance de Tunis,Tunisia,1594,43,1636,-
2263,Espoir,Niger,1241,37,1241,-
1811,ESPOLI,Ecuador,1270,9,1270,-
158,Esteghlal,Iran,1565,43,1541,+
2600,Esteghlal Ahvaz,Iran,1208,16,1208,-
1561,Esteghlal Khuzestan FC,Iran,1290,26,1290,-
632,Estoril,Portugal,1406,209,1366,+
2611,Estudiantes de Caracas,Venezuela,1206,16,1206,-
127,Estudiantes de la Plata (ARG),Argentina,1593,115,1522,+
1639,Estudiantes de Mérida,Venezuela,1285,12,1285,-
1322,Estudiantes Tecos,Mexico,1311,7,1311,-
1318,Etar,Bulgaria,1312,82,1322,-
1460,Ethnikos Achnas,Cyprus,1299,184,1285,+
2198,Etoile du Kivu,Congo DR,1244,102,1250,-
287,Etoile du Sahel,Tunisia,1501,106,1551,-
1216,Etoile Metlaoui,Tunisia,1324,123,1310,+
1281,Eupen,Belgium,1317,403,1360,-
695,Everton CD,Chile,1394,11,1389,+
201,Everton FC,England,1543,144,1680,-
484,Evian TG,France,1439,2,1439,-
484,Evian TG,France,1439,2,1439,-
849,Excelsior,Netherlands,1366,10,1366,-
1836,F91 Dudelange,Luxembourg,1268,9,1268,-
2033,FA Šiauliai,Lithuania,1254,64,1250,+
2688,Fajardo,Puerto Rico,1187,9,1187,-
1546,Fajr Sepasi,Iran,1292,327,1323,-
2602,Falkenbergs FF,Sweden,1206,18,1206,-
1697,Falkirk,Scotland,1280,1,1280,-
586,FAR Rabat,Morocco,1415,54,1403,+
873,Farul Constanța,Romania,1363,566,1300,+
605,Fatih Karagümrük,Turkey,1411,1,1409,+
1428,Fauve Azur Elite FC,Cameroon,1301,11,1300,+
2484,FB Gulbene,Latvia,1222,25,1222,-
401,FBC Melgar,Peru,1460,125,1428,+
2444,FC Academia Chisinau,Moldova,1225,20,1225,-
2128,FC Alashkert,Armenia,1249,32,1250,-
1517,FC Anzhi Makhachkala,Russia,1294,25,1294,-
777,FC Arda Kardzhali,Bulgaria,1377,6,1376,+
1468,FC Arsenal Dzerzhinsk,Belarus,1299,29,1300,-
1161,FC Arsenal Kiev,Ukraine,1328,4,1328,-
1120,FC Ashdod,Israel,1333,273,1366,-
143,FC Basel,Switzerland,1580,2,1578,+
1143,FC Bravos DO Maquis,Angola,1330,70,1339,-
429,FC Brest,Belarus,1452,178,1518,-
1522,FC Carlos Stein,Peru,1294,176,1309,-
1248,FC Chindia Târgovişte,Romania,1320,113,1331,-
2719,FC Cincinnati,United States,1176,100,1207,-
2753,FC Codru Lozova,Moldova,1138,2,1152,-
989,FC CSKA 1948 Sofia,Bulgaria,1347,450,1300,+
947,FC Dallas,United States,1353,184,1377,-
1419,FC Daugava,Latvia,1302,3,1302,-
753,FC Dinamo Batumi,Georgia,1383,302,1341,+
1523,FC Dnyapro Mogilev,Belarus,1294,20,1294,-
1524,FC Dordrecht,Netherlands,1294,24,1294,-
1708,FC Dunărea Călăraşi,Romania,1279,1,1279,-
2350,FC Edmonton,Canada,1233,42,1233,-
671,FC Emmen,Netherlands,1397,65,1383,+
1236,FC Energetik-BGU Minsk,Belarus,1322,259,1298,+
492,FC Famalicão,Portugal,1436,86,1457,-
492,FC Famalicão,Portugal,1436,86,1457,-
1237,FC Fastav Zlin,Czech Republic,1322,121,1308,+
2700,FC Floreşti,Moldova,1182,204,1223,-
2044,FC Gagra,Georgia,1254,53,1250,+
2082,FC Goa,India,1251,1,1251,-
293,FC Groningen,Netherlands,1499,52,1479,+
2669,FC Guria Lanchkhuti,Georgia,1192,12,1192,-
2346,FC Helsingør,Denmark,1234,41,1234,-
344,FC Infonet Tallinn,Estonia,1476,3,1476,-
502,FC Inter Turku (FIN),Finland,1434,9,1435,-
980,FC Juárez,Mexico,1349,172,1370,-
2751,FC Jurmala,Latvia,1149,1,1149,-
1887,FC Kapaz,Azerbaijan,1264,10,1264,-
2749,FC Kolkheti-1913 Poti,Georgia,1152,1,1152,-
617,FC Kolos Kovalivka,Ukraine,1408,115,1432,-
207,FC Krasnodar,Russia,1541,34,1523,+
2536,FC KTP,Finland,1217,848,1281,-
2690,FC Kuressaare,Estonia,1186,65,1144,+
748,FC Lahti,Finland,1384,13,1378,+
2137,FC Lubumbashi sport,Congo DR,1248,146,1256,-
1795,FC Luch Minsk,Belarus,1270,6,1270,-
1438,FC Lviv,Ukraine,1300,95,1295,+
2322,FC Ma'an,Jordan,1236,146,1248,-
2163,FC Maktaaral,Kazakhstan,1247,67,1250,-
2344,FC Masr,Egypt,1234,41,1234,-
2510,FC Merani Tbilisi,Georgia,1220,23,1220,-
173,FC Midtjylland,Denmark,1557,8,1561,-
353,FC Milsami Orhei,Moldova,1474,17,1469,+
1893,FC Minaj,Ukraine,1264,545,1309,-
1490,FC Minsk,Belarus,1297,369,1333,-
2194,FC MK,Congo DR,1244,44,1244,-
909,FC Nizhny Novgorod,Russia,1357,46,1350,+
718,FC Orenburg,Russia,1390,20,1390,-
2177,FC Pasching,Austria,1246,43,1246,-
760,FC Platinum,Zimbabwe,1381,4,1379,+
14,FC Porto,Portugal,1831,2,1825,+
2378,FC Pune City,India,1232,32,1232,-
1785,FC Rapid Ghidighici,Moldova,1271,2,1271,-
2195,FC Renaissance du Congo,Denmark,1244,206,1256,-
581,FC Ruh Brest,Belarus,1416,314,1358,+
2620,FC Rustavi,Georgia,1203,14,1203,-
2075,FC Samgurali Tskhaltubo,Georgia,1252,21,1250,+
2541,FC Samtredia,Georgia,1216,525,1255,-
2584,FC Saxan,Moldova,1209,17,1209,-
688,FC Seoul,South Korea,1395,104,1371,+
57,FC Sheriff,Moldova,1682,18,1644,+
2702,FC Shukura Kobuleti,Georgia,1181,34,1195,-
2262,FC Simba,Denmark,1241,76,1248,-
2606,FC Sioni Bolnisi,Georgia,1206,10,1211,-
911,FC Skonto Riga,Latvia,1357,6,1357,-
2574,FC Smorgon,Belarus,1212,196,1235,-
2265,FC Spicul Chișcăreni,Moldova,1241,38,1241,-
494,FC St. Gallen 1879,Switzerland,1436,89,1415,+
494,FC St. Gallen 1879,Switzerland,1436,89,1415,+
1393,FC Struga Trim-Lum,Nigeria,1303,91,1299,+
2571,FC Stumbras,Lithuania,1212,17,1212,-
1900,FC Telavi,Georgia,1263,270,1249,+
495,FC Tokyo,Japan,1435,32,1442,-
495,FC Tokyo,Japan,1435,32,1442,-
2745,FC Torpedo Minsk,Belarus,1156,2,1156,-
818,FC Torpedo Moscow,Russia,1370,14,1370,-
1610,FC Tsarsko Selo Sofia 2015,Bulgaria,1287,496,1333,-
1952,FC Tskhinvali,Georgia,1260,16,1260,-
184,FC Twente,Netherlands,1551,373,1422,+
1262,FC U Craiova 1948,Romania,1319,177,1300,+
723,FC Ufa,Russia,1389,30,1391,-
542,FC Ural,Russia,1425,1,1425,-
229,FC Utrecht,Netherlands,1531,67,1563,-
1565,FC Vaduz,Switzerland,1290,65,1298,-
422,FC Vaslui,Romania,1456,7,1456,-
850,FC Veris,Moldova,1366,8,1366,-
625,FC Vizela,Portugal,1407,23,1400,+
927,FC Voluntari,Romania,1355,467,1303,+
1927,FC Wacker Innsbruck,Austria,1261,10,1261,-
1361,FC Zbrojovka Brno,Czech Republic,1307,111,1300,+
2739,FC Zugdidi,Georgia,1164,3,1164,-
71,FCI Levadia Tallinn,Estonia,1663,1,1653,+
1518,Feirense,Portugal,1294,27,1294,-
134,Fenerbahçe,Turkey,1587,17,1569,+
680,Fénix,Uruguay,1396,45,1403,-
166,Ferencváros,Hungary,1562,33,1585,-
1772,Ferroviário da Beira,Mozambique,1272,1,1272,-
2335,Ferroviário Do Huambo,Angola,1235,130,1247,-
937,Feutcheu FC,Cameroon,1353,150,1372,-
56,Feyenoord,Netherlands,1684,25,1637,+
1655,FF Jaro,Finland,1284,8,1284,-
2252,FH Hafnarfjordur,Iceland,1241,39,1241,-
505,Figueirense,Brazil,1434,8,1434,-
1649,Finn Harps,Ireland,1284,222,1265,+
64,Fiorentina,Italy,1671,58,1592,+
1254,FK AGMK,Uzbekistan,1320,147,1303,+
390,FK Akhmat Grozny,Russia,1463,12,1458,+
